data,ora,open,high,low,close,volume
2019.11.22,00:00,1.29082,1.29284,1.28232,1.28283,128136
2019.11.25,00:00,1.28499,1.29115,1.28406,1.28994,104668
2019.11.26,00:00,1.28994,1.29031,1.28348,1.28581,106512
2019.11.27,00:00,1.28586,1.29501,1.28271,1.29456,119192
2019.11.28,00:00,1.29455,1.29506,1.28991,1.29058,112080
2019.11.29,00:00,1.29059,1.29419,1.28787,1.29132,107576
2019.12.02,00:00,1.29115,1.29487,1.28959,1.29397,109088
2019.12.03,00:00,1.29412,1.30115,1.29302,1.29923,123104
2019.12.04,00:00,1.29924,1.31204,1.29822,1.31028,142016
2019.12.05,00:00,1.31026,1.31662,1.31026,1.31573,120668
2019.12.06,00:00,1.31573,1.31650,1.31003,1.31319,115924
2019.12.09,00:00,1.31332,1.31804,1.31330,1.31389,109428
2019.12.10,00:00,1.31403,1.32151,1.31067,1.31222,131884
2019.12.11,00:00,1.31219,1.32136,1.31114,1.31983,135328
2019.12.12,00:00,1.31980,1.35149,1.30503,1.34541,201400
2019.12.13,00:00,1.34541,1.35075,1.33053,1.33266,239576
2019.12.16,00:00,1.33427,1.34218,1.32649,1.32856,157416
2019.12.17,00:00,1.32879,1.33006,1.30990,1.31288,203120
2019.12.18,00:00,1.31289,1.31341,1.30594,1.30811,203816
2019.12.19,00:00,1.30812,1.31330,1.29897,1.30066,193624
2019.12.20,00:00,1.30066,1.30791,1.29783,1.29952,134604
2019.12.23,00:00,1.29962,1.30317,1.29045,1.29378,139732
2019.12.24,00:00,1.29378,1.29702,1.29085,1.29291,125152
2019.12.25,00:00,1.29281,1.29730,1.29230,1.29722,3224
2019.12.26,00:00,1.29715,1.30156,1.29596,1.29913,82196
2019.12.27,00:00,1.29913,1.31169,1.29680,1.30758,134668
2019.12.30,00:00,1.30691,1.31500,1.30687,1.31182,133032
2019.12.31,00:00,1.31164,1.32840,1.31054,1.32559,146876
2020.01.01,00:00,1.32463,1.32548,1.32457,1.32467,10208
2020.01.02,00:00,1.32469,1.32661,1.31152,1.31316,236404
2020.01.03,00:00,1.31335,1.31600,1.30531,1.30787,175612
2020.01.06,00:00,1.30666,1.31785,1.30633,1.31749,145792
2020.01.07,00:00,1.31749,1.32120,1.30948,1.31134,175140
2020.01.08,00:00,1.31131,1.31694,1.30799,1.30972,201984
2020.01.09,00:00,1.30965,1.31233,1.30126,1.30674,188468
2020.01.10,00:00,1.30675,1.30968,1.30422,1.30569,146944
2020.01.13,00:00,1.30360,1.30450,1.29608,1.29890,147852
2020.01.14,00:00,1.29889,1.30329,1.29542,1.30206,149020
2020.01.15,00:00,1.30197,1.30582,1.29850,1.30450,137712
2020.01.16,00:00,1.30448,1.30828,1.30252,1.30751,139728
2020.01.17,00:00,1.30751,1.31184,1.30050,1.30058,148376
2020.01.20,00:00,1.30004,1.30132,1.29617,1.30065,96176
2020.01.21,00:00,1.30066,1.30831,1.29952,1.30451,136472
2020.01.22,00:00,1.30454,1.31525,1.30343,1.31341,166072
2020.01.23,00:00,1.31341,1.31508,1.30966,1.31186,134816
2020.01.24,00:00,1.31179,1.31739,1.30565,1.30701,149720
2020.01.27,00:00,1.30734,1.31050,1.30395,1.30530,122164
2020.01.28,00:00,1.30527,1.30649,1.29752,1.30247,115252
2020.01.29,00:00,1.30247,1.30273,1.29892,1.30136,98228
2020.01.30,00:00,1.30143,1.31099,1.29773,1.30887,146692
2020.01.31,00:00,1.30888,1.32090,1.30835,1.32014,148952
2020.02.03,00:00,1.31774,1.31837,1.29827,1.29959,159996
2020.02.04,00:00,1.29959,1.30464,1.29410,1.30277,168368
2020.02.05,00:00,1.30277,1.30697,1.29560,1.29972,165364
2020.02.06,00:00,1.29968,1.29994,1.29211,1.29270,130028
2020.02.07,00:00,1.29270,1.29589,1.28813,1.28818,152920
2020.02.10,00:00,1.28885,1.29459,1.28716,1.29128,130564
2020.02.11,00:00,1.29131,1.29679,1.28941,1.29529,133104
2020.02.12,00:00,1.29533,1.29914,1.29511,1.29563,793096
2020.02.13,00:00,1.29560,1.30693,1.29439,1.30400,907768
2020.02.14,00:00,1.30409,1.30634,1.30009,1.30455,636908
2020.02.17,00:00,1.30431,1.30537,1.29977,1.30027,101556
2020.02.18,00:00,1.30026,1.30486,1.29705,1.29984,154296
2020.02.19,00:00,1.29988,1.30229,1.29072,1.29194,149184
2020.02.20,00:00,1.29195,1.29281,1.28488,1.28790,121768
2020.02.21,00:00,1.28790,1.29806,1.28781,1.29529,158164
